,text_final
47,"'ol', 'li', 'white', 'house', 'set', 'ethics', 'plan', 'sale', 'hunter', 'biden', 'art', 'new', 'york', 'time', 'li', 'obama', 'ethic', 'chief', 'blast', 'secret', 'hunter', 'biden', 'art', 'scheme', 'arrange', 'white', 'house', 'fox', 'news', 'li', 'deal', 'art', 'white', 'house', 'grapple', 'ethic'"
48,"'supporter', 'trump', 'big', 'lie', 'poise', 'take', 'party'"
49,"'million', 'democratic', 'national', 'committee', 'initiative', 'seek', 'register', 'voter', 'fight', 'voter', 'suppression', 'underscore', 'democrat', 'challenge', 'large', 'fight'"
50,"'president', 'insist', 'united', 'state', 'do', 'enough', 'empower', 'afghan', 'police', 'military', 'secure', 'future', 'people'"
51,"'two', 'prime', 'minister', 'one', 'interim', 'one', 'newly', 'appoint', 'claim', 'authority', 'haiti', 'threaten', 'sense', 'legitimacy', 'either', 'would', 'need', 'govern'"
52,"'disaster', 'happen', 'middle', 'night', 'many', 'parent', 'child', 'grandparent', 'sibling', 'kill', 'together'"
53,"'despite', 'interim', 'prime', 'minister', 'claim', 'charge', 'president', 'assassination', 'volatile', 'political', 'situation', 'pose', 'yet', 'another', 'challenge', 'democracy', 'western', 'hemisphere'"
54,"'american', 'flock', 'national', 'park', 'record', 'number', 'many', 'case', 'lead', 'long', 'line', 'overcrowd', 'facility', 'four', 'park', 'look', 'like', 'holiday', 'weekend'"
55,"'still', 'pay', 'price', 'policy'"
56,"'coverage', 'tonight', 'final', 'contender', 'face', 'clock', 'camera', 'start', 'eastern', 'late'"
57,"'ol', 'li', 'ashleigh', 'barty', 'karolina', 'pliskova', 'wimbledon', 'final', 'new', 'york', 'time', 'li', 'ash', 'barty', 'beat', 'angelique', 'kerber', 'reach', 'wimbledon', 'woman', 'final', 'karolina', 'pliskova', 'espn', 'li', 'ashleigh', 'barty', 'reach', 'first', 'wimbledon', 'final'"
58,"'west', 'coast', 'prepare', 'yet', 'another', 'extreme', 'heat', 'wave', 'high', 'triple', 'digit', 'part', 'state', 'saturday'"
59,"'know', 'lambda', 'variant', 'first', 'discover', 'peru'"
