,text_final
43,"'small', 'soccer', 'museum', 'florence', 'tell', 'story', 'italian', 'national', 'team', 'fan', 'hope', 'euro', 'final', 'match'"
44,"'jonathan', 'balcombe', 'talk', 'super', 'fly', 'marjorie', 'ingall', 'discus', 'holocaust', 'literature', 'child'"
45,"'fourth', 'season', 'masterpiece', 'drama', 'keep', 'delicate', 'balance', 'mystery', 'melodrama', 'compassion'"
46,"'small', 'soccer', 'museum', 'florence', 'tell', 'story', 'italian', 'national', 'team', 'fan', 'hope', 'euro', 'final', 'match'"
47,"'agency', 'act', 'head', 'say', 'review', 'look', 'whether', 'interaction', 'agency', 'staff', 'drug', 'developer', 'biogen', 'break', 'rule'"
48,"'classic', 'persian', 'dish', 'meal', 'need', 'life'"
49,"'insurgent', 'assault', 'vital', 'city', 'afghanistan', 'south', 'friday', 'less', 'hour', 'president', 'biden', 'reaffirm', 'decision', 'withdraw', 'country'"
50,"'ol', 'li', 'biden', 'urge', 'putin', 'take', 'action', 'new', 'york', 'time', 'li', 'biden', 'delivers', 'warning', 'putin', 'ransomware', 'attack', 'politico', 'msnnow', 'li', 'biden', 'tell', 'putin', 'take', 'necessary', 'action', 'late', 'ransomware', 'attack'"
51,"'army', 'brig', 'mark', 'martin', 'hold', 'job', 'long', 'many', 'year', 'public', 'face', 'military', 'commission'"
52,"'late', 'announcement', 'nearly', 'identical', 'one', 'agency', 'issue', 'sunday', 'order', 'halt', 'downloads', 'didi', 'main', 'app'"
53,"'review', 'recent', 'study', 'comparison', 'outbreak', 'group', 'virologist', 'contend', 'evidence', 'support', 'natural', 'spillover', 'animal', 'human'"
54,"'photographer', 'find', 'comfort', 'pandemic', 'metamorphosis', 'classic', 'work', 'nature', 'change'"
55,"'hesitancy', 'stop', 'new', 'yorkers', 'get', 'vaccinate', 'many', 'community', 'doubt', 'health', 'department', 'run', 'idea'"
56,"'agency', 'say', 'full', 'vaccine', 'approval', 'rest', 'review', 'also', 'leave', 'afghanistan', 'trauma', 'loss', 'child', 'screen', 'time', 'job', 'automation', 'culture', 'meat'"
57,"'want', 'online', 'order', 'want', 'seem', 'ready', 'big', 'tech', 'move'"
58,"'lead', 'man', 'kumar', 'die', 'wednesday', 'help', 'craft', 'cinematic', 'image', 'india'"
59,"'emerge', 'pandemic', 'walk', 'around', 'without', 'mask', 'learn', 'body', 'new', 'york', 'time', 'https'"
60,"'meat', 'still', 'central', 'eid', 'commemorate', 'sacred', 'sacrifice', 'many', 'people', 'adapt', 'feast', 'change', 'season', 'law', 'taste'"
61,"'white', 'house', 'ask', 'dozen', 'federal', 'agency', 'input', 'action', 'initiative', 'design', 'increase', 'competition', 'limit', 'power', 'large', 'corporation'"
62,"'white', 'house', 'ask', 'dozen', 'federal', 'agency', 'input', 'action', 'initiative', 'design', 'increase', 'competition', 'limit', 'power', 'large', 'corporation'"
63,"'executive', 'order', 'reflect', 'administration', 'grow', 'embrace', 'warning', 'economist', 'decline', 'competition', 'hobble', 'economy', 'vitality'"
64,"'kind', 'sell', 'people', 'childhood', 'back'"
65,"'reserve', 'fund', 'would', 'help', 'develop', 'nation', 'purchase', 'vaccine', 'bolster', 'health', 'care', 'system', 'money', 'come'"
66,"'department', 'approve', 'claim', 'student', 'attend', 'westwood', 'college', 'marinello', 'school', 'beauty', 'court', 'report', 'institute'"
67,"'russian', 'grandmaster', 'spend', 'decade', 'work', 'longtime', 'world', 'champion', 'say', 'dokhoian', 'give', 'stability', 'die', 'coronavirus'"
68,"'recommendation', 'departure', 'past', 'guideline', 'school', 'arrive', 'less', 'month', 'first', 'day', 'school', 'district'"
69,"'early', 'estimate', 'point', 'huge', 'along', 'pacific', 'coast', 'scientist', 'say', 'river', 'far', 'inland', 'warm', 'level', 'could', 'lethal', 'kind', 'salmon'"
70,"'close', 'tie', 'coroner', 'law', 'enforcement', 'fuel', 'usual', 'unregulated', 'industry', 'forensic', 'examination'"
71,"'two', 'men', 'maintain', 'plot', 'kill', 'president', 'jovenel', 'moïse', 'plan', 'intensively', 'month', 'judge', 'involve', 'investigation', 'say'"
72,"'guidance', 'acknowledge', 'many', 'student', 'suffer', 'month', 'virtual', 'learning'"
73,"'stock', 'keep', 'hit', 'new', 'high', 'get', 'expensive', 'nothing', 'could', 'go', 'wrong', 'often'"
74,"'bring', 'joy', 'make', 'kind', 'paella', 'preferably', 'cook', 'outside', 'grill'"
75,"'sense', 'relief', 'jacob', 'zuma', 'arrest', 'go', 'without', 'bloodshed', 'deeply', 'divide', 'party', 'must', 'find', 'way', 'forward'"
76,"'andrew', 'perra', 'propose', 'olivia', 'janssen', 'hike', 'panarea', 'island', 'north', 'sicily', 'italy', 'summer'"
77,"'slimy', 'secretion', 'coat', 'harbor', 'beach', 'smother', 'marine', 'life', 'warm', 'water', 'part', 'problem'"
78,"'like', 'president', 'immigration', 'policy', 'protection', 'could', 'disappear', 'future', 'administration', 'create', 'legislation'"
79,"'crime', 'columnist', 'raf', 'samira', 'sedira', 'people', 'like', 'well', 'willa', 'richards', 'debut', 'comfort', 'monster'"
80,"'writer', 'late', 'investigation', 'human', 'frailty', 'craven', 'behavior', 'focus', 'wealthy', 'resort', 'guest', 'hotel', 'worker', 'cater', 'whim'"
81,"'month', 'pick', 'feature', 'superheroes', 'eerie', 'phone', 'call', 'eerie', 'cab', 'ride', 'alternative', 'universe', 'perilous', 'trip', 'mar'"
82,"'incident', 'second', 'affect', 'parachutist', 'flight', 'similar', 'disaster', 'country'"
83,"'creator', 'quirky', 'sculpture', 'garden', 'die', 'debate', 'plot', 'fate', 'intensify'"
84,"'executive', 'order', 'tell', 'federal', 'agency', 'approve', 'merger', 'scrutinize', 'industry', 'practice', 'closely', 'late'"
85,"'broker', 'say', 'neither', 'mogul', 'appear', 'purchase', 'coverage', 'case', 'accident', 'insurer', 'interested', 'develop', 'policy', 'space', 'tourism'"
86,"'stock', 'keep', 'hit', 'new', 'high', 'get', 'expensive', 'nothing', 'could', 'go', 'wrong', 'often'"
87,"'easy', 'obsess', 'small', 'part', 'portfolio', 'like', 'tiny', 'amount', 'interest', 'spin', 'fund', 'today', 'waste', 'time'"
88,"'annualized', 'rate', 'series', 'inflation', 'bond', 'percent', 'lot', 'saving', 'account', 'pay'"
89,"'near', 'top', 'income', 'ladder', 'say', 'give', 'different', 'perspective', 'work', 'one', 'financial', 'manager', 'put', 'get', 'flavor', 'retirement', 'look', 'like'"
90,"'world', 'highway', 'port', 'electric', 'wire', 'road', 'need', 'repair', 'upgrade', 'could', 'opportunity', 'fund', 'invest', 'infrastructure'"
91,"'little', 'professional', 'advice', 'go', 'long', 'way', 'make', 'worthy', 'investment', 'whether', 'someone', 'emerge', 'high', 'school', 'graduate', 'school', 'somewhere'"
92,"'investor', 'may', 'want', 'stick', 'standard', 'diversified', 'stock', 'bond', 'fund', 'hedge', 'available', 'worry', 'inflation', 'get', 'control'"
93,"'investor', 'may', 'want', 'stick', 'standard', 'diversified', 'stock', 'bond', 'fund', 'hedge', 'available', 'worry', 'inflation', 'get', 'control'"
94,"'saturday', 'copa', 'américa', 'final', 'brazil', 'feel', 'like', 'messi', 'chance', 'deliver', 'title', 'argentina', 'chase', 'generation'"
95,"'country', 'economic', 'growth', 'slows', 'central', 'bank', 'say', 'lender', 'could', 'reduce', 'much', 'money', 'keep', 'reserve', 'effort', 'increase', 'lending'"
96,"'richard', 'branson', 'jeff', 'bezos', 'set', 'space', 'without', 'liability', 'insurance', 'provider', 'plan', 'ahead', 'future', 'demand'"
97,"'wayne', 'couzens', 'already', 'admit', 'kidnap', 'rap', 'everard', 'whose', 'kill', 'march', 'set', 'outcry', 'gender', 'violence', 'britain'"
98,"'blaze', 'building', 'fruit', 'drink', 'pack', 'material', 'plastic', 'product', 'make', 'burn', 'nearly', 'hour'"
99,
